"year","reg","sex","s.age","length","mean","sd","n","se"
"351",1986,"3A ","F",14,"length",153,22.3383079036887,3,12.8970280814354
"352",1986,"3A ","F",15,"length",158,NA,1,NA
"353",1986,"3A ","F",17,"length",165.666666666667,3.78593889720018,3,2.185812841434
"354",1986,"3A ","M",12,"length",102.2,16.9888852554316,10,5.37235723144154
"355",1986,"3A ","M",13,"length",114,18.9359823767194,8,6.69488077350363
"356",1986,"3A ","M",14,"length",98.5,6.36396103067893,2,4.5
"357",1986,"3A ","M",15,"length",107,12.7279220613579,2,9
"358",1986,"3A ","M",16,"length",122,21.7944947177034,3,12.5830573921179
"359",1986,"3A ","M",17,"length",112,9.89949493661167,2,7
"360",1986,"3A ","M",18,"length",147.5,8.88819441731559,4,4.44409720865779
"361",1988,"2B ","F",12,"length",113.333333333333,2.88675134594813,3,1.66666666666667
"362",1988,"2B ","F",13,"length",119,NA,1,NA
"363",1988,"2B ","F",14,"length",125,NA,1,NA
"364",1988,"2B ","M",12,"length",86,6.92820323027551,3,4
"365",1988,"2B ","M",13,"length",82,NA,1,NA
"366",1988,"2B ","M",15,"length",104,16.9705627484771,2,12
"367",1988,"3A ","F",12,"length",127.333333333333,14.5344418537486,9,4.84481395124954
"368",1988,"3A ","F",13,"length",156.666666666667,18.6100331362771,3,10.7445076408575
"369",1988,"3A ","F",14,"length",146.166666666667,12.4485608271264,6,5.08210367640978
"370",1988,"3A ","F",15,"length",150.333333333333,19.2527054375915,6,7.85988408170107
"371",1988,"3A ","F",17,"length",178,5.65685424949238,2,4
"372",1988,"3A ","M",13,"length",112,15.556349186104,2,11
"373",1988,"3A ","M",14,"length",105,5.65685424949238,2,4
"374",1989,"2B ","F",12,"length",113.333333333333,18.2208671582886,9,6.0736223860962
"375",1989,"2B ","F",13,"length",132.666666666667,28.0832096931007,6,11.4649223479466
"376",1989,"2B ","M",12,"length",89.6,5.50454357780915,5,2.46170672501823
"377",1989,"2B ","M",13,"length",90.3333333333333,2.3094010767585,3,1.33333333333333
"378",1989,"2B ","M",14,"length",88,10.3923048454133,3,6
"379",1989,"2B ","M",15,"length",97.6666666666667,5.5075705472861,3,3.17979733805649
"380",1989,"2B ","M",16,"length",104,NA,1,NA
"381",1989,"2C ","F",12,"length",130.555555555556,16.7340305299643,9,5.57801017665477
"382",1989,"2C ","F",13,"length",143.5,23.3345237791561,2,16.5
"383",1989,"2C ","F",14,"length",127.166666666667,16.0426514849219,6,6.54938504322692
"384",1989,"2C ","F",15,"length",142.333333333333,8.9628864398325,3,5.17472489875334
"385",1989,"2C ","F",16,"length",148,NA,1,NA
"386",1989,"2C ","F",18,"length",181,NA,1,NA
"387",1989,"2C ","M",12,"length",95.2857142857143,15.6281187363705,7,5.90687366231791
"388",1989,"2C ","M",13,"length",101.333333333333,10.1159939369957,3,5.84047182264508
"389",1989,"2C ","M",14,"length",119.5,9.71253485622231,4,4.85626742811116
"390",1989,"2C ","M",15,"length",106.75,11.9826263120125,4,5.99131315600623
